"Titel"	"Opmerking"
"|EGE"	"afkorting -JS"
"|ODI"	"afkorting -JS"
"|UNCU"	"afkorting -JS"
"|RIGO"	"afkorting onderzoek - JS"
"|BARD"	"afkorting voor Burgerlijk ambtenarenreglement defensie - JS"
"|GEDA"	"afkorting voor gedaagde - JS"
"|HELON"	"afkorting/ JS"
"|LEN"	"afkorting/bedrijfsnaam -JS"
"|RES"	"afkorting/Latijn - JS"
"|BACO"	"afkorting/naam - JS"
"|NART"	"afkorting/spelfout - JS"
"|TOK"	"afkorting/spelfout voor tolk - JS"
"|ETE"	"afkorting/typefout - JS"
"|N. N."	"afkorting/voorletters - JS"
"|HU"	"afkorting/voorletters - JS"
"|MD"	"afkorting/voorletters - JS"
"|B.c."	"afkorting/voorletters - JS"
"|I.B."	"afkorting/voorletters - JS"
"|I.A."	"afkorting/voorletters - JS"
"|C. B."	"afkorting/voorletters - JS"
"|I.O."	"afkorting/voorletters - JS"
"|M.O."	"afkorting/voorletters - JS"
"|F. W."	"afkorting/voorletters - JS"
"|AY"	"afkorting/voorletters - JS"
"|PY"	"afkorting/voorletters - JS"
"|J.-M. F."	"afkorting/voorletters - JS"
"|A.A."	"afkorting/voorletters - JS"
"|T.C."	"afkorting/voorletters - JS"
"|T.C.|H.C."	"afkorting/voorletters - JS"
"|X. S.A."	"afkorting/voorletters -JS"
"|N.TS."	"afkorting/voornaam - JS"
"|G.L. & S.L."	"afkortingen/voorletters - JS"
"|IVANOFF"	"alias ander uitspraak - JS"
"|ORIC"	"alias andere uitspraak - JS"
"|MASSON"	"alias andere uitspraak - JS"
"|STOKES"	"alias andere uitspraak - JS"
"|KARMAN"	"alias arrest HR - JS"
"|BIALEK"	"alias arrest HR - JS"
"|HUBER"	"alias arrest HR -JS"
"|AMANN"	"alias arrest HvJ"
"|FILEV"	"alias arrest HvJ - JS"
"|GEORGAKIS"	"alias arrest HvJ - JS"
"|GIRARD"	"alias arrest HvJ - JS"
"|BOYLE"	"alias arrest HvJ - JS"
"|LEHTONEN"	"alias arrest HvJ - JS"
"|FRANKOWSKI"	"alias arrest HvJ - JS"
"|CHRISTODOULOU"	"alias arrest HvJ - JS"
"|KARLSSON"	"alias arrest HvJ - JS"
"|FAURE"	"alias arrest HvJ - JS"
"|LEVIN"	"alias arrest HvJ - JS"
"|TUM"	"alias arrest HvJ - JS"
"|LOUKAS"	"alias arrest HvJ - JS"
"|PETROVA"	"alias arrest HvJ - JS"
"|FISCHER"	"alias arrest HvJ - JS"
"|ORLOWSKI"	"alias arrest HvJ - JS"
"|BALDWIN"	"alias arrest HvJ - JS"
"|PEACOCK"	"alias arrest HvJ - JS"
"|NILSSON"	"alias arrest HvJ - JS"
"|BALAZ"	"alias arrest HvJ - JS"
"|GENC"	"alias arrest HvJ - JS"
"|EROGLU"	"alias arrest HvJ - JS"
"|NOLD"	"alias arrest HvJ - JS"
"|SINGH"	"alias arrest HvJ - JS"
"|KEFALAS"	"alias arrest HvJ - JS"
"|MALIK"	"alias arrest HvJ - JS"
"|SKOMA"	"alias arrest HvJ - JS"
"|PICARO"	"alias arrest HvJ - JS"
"|NIKOLOVI"	"alias arrest HvJ - JS"
"|ACCARDO"	"alias arrest HvJ - JS"
"|SABOU"	"alias arrest HvJ - JS"
"|ROUARD"	"alias arrest HvJ - JS"
"|PFLEGER"	"alias arrest HvJ - JS"
"|FRANSSON"	"alias arrest HvJ - JS"
"|WEBB"	"alias arrest HvJ - JS"
"|KANTNER"	"alias arrest HvJ - JS"
"|BONDA"	"alias arrest HvJ - JS"
"|KEMPTER"	"alias arrest HvJ - JS"
"|VIDAL"	"alias arrest HvJ - JS"
"|NADLER"	"alias arrest HvJ - JS"
"|WELTE"	"alias arrest HvJ - JS"
"|DRAKE"	"alias arrest HvJ - JS"
"|ZUCHNER"	"alias arrest HvJ - JS"
"|FARRELL"	"alias arrest HvJ - JS"
"|SACCHI"	"alias arrest HvJ - JS"
"|KARNELL"	"alias arrest HvJ - JS"
"|LAGARDERE"	"alias arrest HvJ - JS"
"|ERDIL"	"alias arrest HvJ - JS"
"|WEIGEL"	"alias arrest HvJ (C-387/01) - JS"
"|LEROY"	"alias arrest HvJ-JS"
"|STEFF"	"alias arrest HvJ-JS"
"|SVENSSON"	"alias arrest HvJ-JS"
"|PARRY"	"alias arrest HvJ-JS"
"|DRAGOS"	"alias arrest HvJ-JS"
"|BARBIER"	"alias arrest HvJ-JS"
"|SEVINGER"	"alias arrest HvJ-JS"
"|KUC"	"alias arrest HvJ-JS"
"|TEDESCO"	"alias arrest HvJ-JS"
"|PARTRIDGE"	"alias arrest HvJ-JS"
"|ACCIARDI"	"alias arrest HvJ-JS"
"|AKDAS"	"alias HvJ (C-485/07) JS"
"|IOAN"	"alias HvJ (nr. C-402/09) JS"
"|GUNES"	"alias RvS uitspraak (LJN: BC6595)"
"|BOBEL"	"alias uitspraak HR (NJ 1994/300 ) -JS"
"|BAHCECI"	"alias uitspraak HR (NJ 2001/630)"
"|STROBEL"	"alias uitspraak HvJ"
"|SCHULZ"	"alias uitspraak HvJ - JS"
"|ABBEY"	"alias uitspraak HvJ - JS"
"|MANNINEN"	"alias uitspraak HvJ (C-319/02) - JS"
