"Titel"	"Opmerking"
"|PETKOVSKI"	"naam advocaat/gemachtigde - JS"
"|DUR"	"naam advocaat/gemachtigde - JS"
"|FOY"	"naam advocaat/gemachtigde - JS"
"|CRISTIAN"	"naam advocaat/partij - JS"
"|HUTCHINSON"	"naam arts - JS"
"|EMERY"	"naam arts - JS"
"|DEPAUW"	"naam arts - JS"
"|FIALA"	"naam arts - JS"
"|POLAT"	"naam arts - JS"
"|MOSER"	"naam arts - JS"
"|PIETRO"	"naam arts - JS"
"|TITIZ"	"naam arts - JS"
"|ERGUN"	"naam arts - JS"
"|SAYIN"	"naam arts - JS"
"|STRAKA"	"naam arts - JS"
"|ECKER"	"naam arts - JS"
"|LECHNER"	"naam arts - JS"
"|AZIZ"	"naam arts - JS"
"|DOERGA"	"naam arts - JS"
"|HUBNER"	"naam arts - JS"
"|CONSTANTINI"	"naam arts - JS"
"|KUMMER"	"naam arts - JS"
"|ENDERS"	"naam arts - JS"
"|BUSCH"	"naam arts - JS"
"|YOKUS"	"naam arts - JS"
"|HOLZER"	"naam arts - JS"
"|HAUER"	"naam arts - JS"
"|FAIZ"	"naam arts - JS"
"|BISH"	"naam arts - JS"
"|FRICK"	"naam arts - JS"
"|SAMIM"	"naam arts - JS"
"|FOURNIER"	"naam arts - JS"
"|LUBERTI"	"naam arts - JS"
"|VAN DROOGENBROECK"	"naam arts - JS"
"|GLIMMERVEEN"	"naam arts - JS"
"|OFNER"	"naam arts - JS"
"|BRUS"	"naam arts - JS"
"|METS"	"naam arts - JS"
"|NASSERI"	"naam arts - JS"
"|OSTENDORF"	"naam arts - JS"
"|BOZKIR"	"naam arts - JS"
"|GUZELER"	"naam arts - JS"
"|KURTH"	"naam arts - JS"
"|BABIAK"	"naam arts - JS"
"|SOSINOWSKA"	"naam arts - JS"
"|FATHI"	"naam arts die meerdere malen voorkomt - JS"
"|PAVLOV"	"naam arts die veelvuldig voorkomt - JS"
"|HADJI"	"naam arts en tolk -JS"
"|MACHON"	"naam arts -JS"
"|ATALAY"	"naam arts -JS"
"|KLOSE"	"naam arts -JS"
"|LEBER"	"naam arts -JS"
"|CAVALLO"	"naam arts -JS"
"|USTA"	"naam arts -JS"
"|TUNCA"	"naam arts -JS"
"|OSHER"	"naam arts -JS"
"|STARK"	"naam arts -JS"
"|SCHAEFER"	"naam arts -JS"
"|MAUGERI"	"naam arts -JS"
"|NAGLER"	"naam arts -JS"
"|INAL"	"naam arts -JS"
"|TRAN"	"naam arts -JS"
"|LOMBARDO"	"naam arts -JS"
"|BERISHA"	"naam arts -JS"
"|DONOVAN"	"naam arts -JS"
"|OYMAN"	"naam arts -JS"
"|LUPINA"	"naam arts -JS"
"|PETRE"	"naam arts -JS"
"|KARACA"	"naam arts -JS"
"|GOSSELIN"	"naam arts -JS"
"|AKDENIZ"	"naam arts -JS"
"|LATIMER"	"naam arts -JS"
"|MATHERON"	"naam arts -JS"
"|KOPF"	"naam arts -JS"
"|NIKOLOV"	"naam arts komt 1 keer voor op rechtspraak. Verwijzing naar de EHRM uitspraak niet gevonden."
"|ERDEN"	"naam arts/spelfout voor reden -JS"
"|JONSSON"	"naam auteur - JS"
"|KIRK"	"naam auteur - JS"
"|FRIEDL"	"naam auteur - JS"
"|REYNTJENS"	"naam auteur - JS"
"|RIEME"	"naam auteur - JS"
"|CALLENS"	"naam auteur - JS"
"|LEHNER"	"naam auteur - JS"
"|NIMMO"	"naam auteur - JS"
"|DREHER"	"naam auteur - JS"
"|ARROWSMITH"	"naam auteur - JS"
"|FOCKO"	"naam auteur - JS"
"|SALAMON"	"naam auteur - JS"
"|SUSINI"	"naam auteur -JS"
"|BURCA"	"naam auteur -JS"
"|McCAUGHEY"	"naam auteur -JS"
"|KORMOS"	"naam auteur -JS"
"|SPATH"	"naam auteur -JS"
"|DENIZ"	"naam bank - JS"
"|BARCLAY"	"naam bank - JS"
"|COHEN"	"naam burgemeester Amsterdam -JS"
"|REINA"	"naam caf�  en vliegveld - JS"
"|BELOV"	"naam deskundige - JS"
"|SARKOZY"	"naam franse president - JS"
"|LEMEL"	"naam ge"
"|FREITAS"	"naam gemachtigde - JS"
"|STEFANOVIC"	"naam gemachtigde - JS"
"|HEIDEMANN"	"naam gemachtigde - JS"
"|SAYA"	"naam gemachtigde - JS"
"|YAKISIR"	"naam gemachtigde - JS"
"|BALAZS"	"naam gemachtigde - JS"
"|NEMETH"	"naam gemachtigde - JS"
"|BENES"	"naam gemachtigde - JS"
"|ROMPA"	"naam gemachtigde - JS"
"|GUNEY"	"naam gemachtigde - JS"
"|WASSERMAN"	"naam gemachtigde - JS"
"|MELONI"	"naam gemachtigde - JS"
"|KARTAL"	"naam gemachtigde - JS"
"|DAVIES"	"naam gemachtigde - JS"
"|HAYES"	"naam gemachtigde - JS"
"|EISENBERGER"	"naam gemachtigde - JS"
"|PRODAN"	"naam gemachtigde - JS"
"|VITOLS"	"naam gemachtigde - JS"
"|IVANOVIC"	"naam gemachtigde - JS"
"|BODON"	"naam gemachtigde - JS"
"|WEDEKIND"	"naam gemachtigde - JS"
"|KAPLAN"	"naam gemachtigde - JS"
"|STEMPFER"	"naam gemachtigde - JS"
"|GRIGORIAN"	"naam gemachtigde - JS"
"|AIGNER"	"naam gemachtigde - JS"
"|TURI"	"naam gemachtigde - JS"
"|JOVIC"	"naam gemachtigde - JS"
"|MUTLU"	"naam gemachtigde - JS"
"|MANAK"	"naam gemachtigde - JS"
"|SEKER"	"naam gemachtigde - JS"
"|S�RENSEN"	"naam gemachtigde - JS"
"|TOPP"	"naam gemachtigde - JS"
"|ANDRIC"	"naam gemachtigde - JS"
"|BOLUK"	"naam gemachtigde - JS"
"|KALAY"	"naam gemachtigde - JS"
"|VOLF"	"naam gemachtigde - JS"
"|KOCER"	"naam gemachtigde - JS"
"|CALVO"	"naam gemachtigde - JS"
"|LOFFLER"	"naam gemachtigde - JS"
"|VAN DEN BOUWHUIJSEN"	"naam gemachtigde - JS"
"|BIRK"	"naam gemachtigde - JS"
"|SIEGA"	"naam gemachtigde - JS"
"|MANDIC"	"naam gemachtigde - JS"
"|BRONDA"	"naam gemachtigde - JS"
"|VERVERGAERT"	"naam gemachtigde - JS"
"|TALI"	"naam gemachtigde - JS"
"|MAYR"	"naam gemachtigde - JS"
"|ENGDAHL"	"naam gemachtigde - JS"
"|KROPF"	"naam gemachtigde - JS"
"|ARZT"	"naam gemachtigde - JS"
"|VAN DER LINDEN VOOREN"	"naam gemachtigde - JS"
"|SEPP"	"naam gemachtigde - JS"
"|ELMAS"	"naam gemachtigde - JS"
"|MONTOYA"	"naam gemachtigde - JS"
"|PAULI"	"naam gemachtigde - JS"
"|MCLEAN"	"naam gemachtigde - JS"
"|NEIJ"	"naam gemachtigde - JS"
"|LEW"	"naam gemachtigde - JS"
"|GUTMAN"	"naam gemachtigde - JS"
"|SARWARI"	"naam gemachtigde - JS"
"|POLZ"	"naam gemachtigde - JS"
"|GUVEC"	"naam gemachtigde -JS"
"|YUCEL"	"naam gemachtigde -JS"
"|DANKER"	"naam gemachtigde -JS"
"|LEWIS"	"naam gemachtigde/veelvoorkomende achternaam- JS"
"|AKTAR"	"naam getuige, komt 1 keer voor op rechtspraak. Geen verwijzing naar de EHRM uitspraak gevonden -JS"
"|SUMER"	"naam griffier"
"|USLU"	"naam griffier - JS"
"|LAHR"	"naam griffier - JS"
"|ADAMSON"	"naam griffier - JS"
"|ALLAOUI"	"naam griffier - JS"
"|KALAC"	"naam griffier - JS"
"|VOGT"	"naam griffier - JS"
"|BRUCKNER"	"naam griffier - JS"
"|AKABBOUZ"	"naam griffier - JS"
"|HODGSON"	"naam griffier - JS"
"|SUTER"	"naam griffier - JS"
"|DORUK"	"naam griffier - JS"
"|SZYMANOWSKI"	"naam griffier - JS"
"|SCHLABS"	"naam griffier - JS"
"|STOJAKOVIC"	"naam griffier -JS"
"|AVDIC"	"naam griffier- JS"
"|KUBICZ"	"naam griffier- JS"
"|IOANNOU"	"naam komt 1 keer voor in een ander verband op rechtspraak. Geen verwijzingen naar de EHRM uitspraak gevonden -JS"
"|BORER"	"naam komt 1 keer voor in een ander verband op rechtspraak. Geen verwijzingen naar de EHRM uitspraak gevonden -JS"
"|RADIC"	"naam komt in ander verband voor - JS"
"|DONAT"	"naam komt in ander verband voor - JS"
"|DANKO"	"naam komt in ander verband voor - JS"
"|BEVERLEY"	"naam komt in ander verband voor - JS"
"|ENDRE"	"naam komt in ander verband voor - JS"
"|ROSIAK"	"naam komt in ander verband voor - JS"
"|GROSSMAN"	"naam komt in ander verband voor - JS"
"|MECH"	"naam komt in ander verband voor - JS"
"|KOKSAL"	"naam komt in ander verband voor op rechtspraak - JS"
"|ALKES"	"naam komt in ander verband voor op rechtspraak - JS"
"|GUL"	"naam komt in ander verband voor op rechtspraak - JS"
"|CAKIR"	"naam komt in ander verband voor op rechtspraak - JS"
"|DE CAROLIS"	"naam komt in een ander verband voor - JS"
"|MASLAK"	"naam komt in een ander verband voor - JS"
"|EL KHOURY"	"naam komt in een ander verband voor - JS"
"|CONSTANTIN"	"naam komt in een ander verband voor - JS"
"|TOTH"	"naam komt in een ander verband voor - JS"
"|SALIN"	"naam komt in een ander verband voor - JS"
"|DE CATERINA"	"naam komt in een ander verband voor - JS"
"|KEMPE"	"naam komt in een ander verband voor - JS"
"|POPA"	"naam komt in een ander verband voor - JS"
"|BORISOV"	"naam komt in een ander verband voor - JS"
"|NICOLA"	"naam komt in een ander verband voor - JS"
"|CAGLAR"	"naam komt in een ander verband voor - JS"
"|GANEA"	"naam komt in een ander verband voor - JS"
"|LEPPER"	"naam komt in een ander verband voor - JS"
"|ADIO"	"naam komt in een ander verband voor - JS"
"|VALMA"	"naam komt in een ander verband voor - JS"
"|KABA"	"naam komt in een ander verband voor - JS"
"|SOARE"	"naam komt in een ander verband voor - JS"
"|YASA"	"naam komt in een ander verband voor - JS"
"|KARAKUS"	"naam komt in een ander verband voor - JS"
"|AKEL"	"naam komt in een ander verband voor - JS"
"|VALENTIN"	"naam komt in een ander verband voor - JS"
"|CORBET"	"naam komt in een ander verband voor - JS"
"|CANAN"	"naam komt in een ander verband voor - JS"
"|BOKE"	"naam komt in een ander verband voor - JS"
"|ROD"	"naam komt in een ander verband voor - JS"
"|TAYLOR"	"naam komt in een ander verband voor - JS"
"|O'BRIEN"	"naam komt in een ander verband voor - JS"
"|DE PACE"	"naam komt in een ander verband voor - JS"
"|CONSTANCIA"	"naam komt in een ander verband voor - JS"
"|McHUGH"	"naam komt in een ander verband voor - JS"
"|ILIEVA"	"naam komt in een ander verband voor - JS"
"|BAHAR"	"naam komt in een ander verband voor - JS"
"|BALABAN"	"naam komt in een ander verband voor - JS"
"|GODFREY"	"naam komt in een ander verband voor - JS"
"|WILLIAMSON"	"naam komt in een ander verband voor - JS"
"|HERON"	"naam komt in een ander verband voor - JS"
"|WALSH"	"naam komt in een ander verband voor - JS"
"|CLAPHAM"	"naam komt in een ander verband voor - JS"
"|TASE"	"naam komt in een ander verband voor - JS"
"|TASKIN"	"naam komt in een ander verband voor - JS"
"|KASA"	"naam komt in een ander verband voor - JS"
"|ORR"	"naam komt in een ander verband voor - JS"
"|ENKE"	"naam komt in een ander verband voor - JS"
"|CATALINA"	"naam komt in een ander verband voor - JS"
"|KEMP"	"naam komt in een ander verband voor - JS"
"|STEVENSON"	"naam komt in een ander verband voor - JS"
"|SEVERIN"	"naam komt in een ander verband voor - JS"
"|GAGA"	"naam komt in een ander verband voor - JS"
"|GARDNER"	"naam komt in een ander verband voor - JS"
"|DIXON"	"naam komt in een ander verband voor - JS"
"|PERSSON"	"naam komt in een ander verband voor - JS"
"|CAMPBELL"	"naam komt in een ander verband voor - JS"
"|YILDIRIM"	"naam komt in een ander verband voor - JS"
"|HATTEN"	"naam komt in een ander verband voor - JS"
"|BULBUL"	"naam komt in een ander verband voor - JS"
"|PIGGOTT"	"naam komt in een ander verband voor - JS"
"|CARROLL"	"naam komt in een ander verband voor - JS"
"|LOFTUS"	"naam komt in een ander verband voor - JS"
"|KOLMAN"	"naam komt in een ander verband voor - JS"
"|PORTER"	"naam komt in een ander verband voor - JS"
"|BRAGA"	"naam komt in een ander verband voor - JS"
"|LUKAC"	"naam komt in een ander verband voor - JS"
"|GLASER"	"naam komt in een ander verband voor - JS"
"|FARA"	"naam komt in een ander verband voor - JS"
"|TARIK"	"naam komt in een ander verband voor - JS"
"|BALAN"	"naam komt in een ander verband voor - JS"
"|UYSAL"	"naam komt in een ander verband voor - JS"
"|MAREK"	"naam komt in een ander verband voor - JS"
"|RADA"	"naam komt in een ander verband voor - JS"
"|RADI"	"naam komt in een ander verband voor - JS"
"|BILICI"	"naam komt in een ander verband voor - JS"
"|CENGIZ"	"naam komt in een ander verband voor - JS"
"|LIBERMAN"	"naam komt in een ander verband voor - JS"
"|DURIC"	"naam komt in een ander verband voor - JS"
"|SAVA"	"naam komt in een ander verband voor - JS"
"|MAHAMMAD"	"naam komt in een ander verband voor - JS"
"|JOHANSSON"	"naam komt in een ander verband voor - JS"
"|ERCAN"	"naam komt in een ander verband voor - JS"
"|WIESER"	"naam komt in een ander verband voor - JS"
"|TARDI"	"naam komt in een ander verband voor - JS"
"|SAOUD"	"naam komt in een ander verband voor - JS"
"|CAPONE"	"naam komt in een ander verband voor - JS"
"|MARINKO"	"naam komt in een ander verband voor - JS"
"|HILTI"	"naam komt in een ander verband voor - JS"
"|SUER"	"naam komt in een ander verband voor - JS"
"|REINER"	"naam komt in een ander verband voor - JS"
"|YANG"	"naam komt in een ander verband voor - JS"
"|KARAN"	"naam komt in een ander verband voor - JS"
"|BUSSMANN"	"naam komt in een ander verband voor - JS"
"|SOURI"	"naam komt in een ander verband voor - JS"
"|PARKES"	"naam komt in een ander verband voor - JS"
"|ELENA"	"naam komt in een ander verband voor - JS"
"|KURNAZ"	"naam komt in een ander verband voor - JS"
"|GUZEL"	"naam komt in een ander verband voor - JS"
"|MASON"	"naam komt in een ander verband voor - JS"
"|MARTI"	"naam komt in een ander verband voor - JS"
"|DILEK"	"naam komt in een ander verband voor - JS"
"|TESTA"	"naam komt in een ander verband voor - JS"
"|HAULER"	"naam komt in een ander verband voor - JS"
"|NANNING"	"naam komt in een ander verband voor - JS"
"|GORIN"	"naam komt in een ander verband voor - JS"
"|LOCATELLI"	"naam komt in een ander verband voor - JS"
"|KAPAN"	"naam komt in een ander verband voor - JS"
"|BELGE"	"naam komt in een ander verband voor - JS"
"|WALDER"	"naam komt in een ander verband voor - JS"
"|LUKASHENKO"	"naam komt in een ander verband voor - JS"
"|DIKA"	"naam komt in een ander verband voor - JS"
"|MCELROY"	"naam komt in een ander verband voor - JS"
"|BILEN"	"naam komt in een ander verband voor - JS"
"|BEHRAMI"	"naam komt in een ander verband voor - JS"
"|HOFBAUER"	"naam komt in een ander verband voor - JS"
"|HOMANN"	"naam komt in een ander verband voor - JS"
"|GULSEN"	"naam komt in een ander verband voor - JS"
"|SECKIN"	"naam komt in een ander verband voor - JS"
"|DURSUN"	"naam komt in een ander verband voor - JS"
"|EVANS"	"naam komt in een ander verband voor - JS"
"|SYLLA"	"naam komt in een ander verband voor - JS"
"|ECKARDT"	"naam komt in een ander verband voor - JS"
"|KARUNA"	"naam komt in een ander verband voor - JS"
"|HANCOCK"	"naam komt in een ander verband voor - JS"
"|GUNGOR"	"naam komt in een ander verband voor - JS"
"|YURT"	"naam komt in een ander verband voor - JS"
"|ZAYED"	"naam komt in een ander verband voor - JS"
"|SVARC"	"naam komt in een ander verband voor - JS"
"|MAC DONALD"	"naam komt in een ander verband voor - JS"
"|PETRIE"	"naam komt in een ander verband voor - JS"
"|HENDERSON"	"naam komt in een ander verband voor - JS"
"|FARHI"	"naam komt in een ander verband voor - JS"
"|SOLMAZ"	"naam komt in een ander verband voor - JS"
"|KONDU"	"naam komt in een ander verband voor - JS"
"|AUGUSTO"	"naam komt in een ander verband voor - JS"
"|SILKA"	"naam komt in een ander verband voor - JS"
"|HERBST"	"naam komt in een ander verband voor - JS"
"|AUBERT"	"naam komt in een ander verband voor - JS"
"|SITO"	"naam komt in een ander verband voor - JS"
"|KOZMA"	"naam komt in een ander verband voor - JS"
"|TURKMEN"	"naam komt in een ander verband voor - JS"
"|FILIP"	"naam komt in een ander verband voor - JS"
"|DAHLBERG"	"naam komt in een ander verband voor - JS"
"|TUNCER"	"naam komt in een ander verband voor - JS"
"|ANTER"	"naam komt in een ander verband voor - JS"
"|IULIANO"	"naam komt in een ander verband voor - JS"
"|HRISTOVA"	"naam komt in een ander verband voor - JS"
"|YAZICI"	"naam komt in een ander verband voor - JS"
"|KORDA"	"naam komt in een ander verband voor - JS"
"|LEEMPOEL"	"naam komt in een ander verband voor - JS"
"|JELICIC"	"naam komt in een ander verband voor - JS"
"|BABA"	"naam komt in een ander verband voor - JS"
"|OKTEM"	"naam komt in een ander verband voor - JS"
"|PAVLOU"	"naam komt in een ander verband voor - JS"
"|ATKINSON"	"naam komt in een ander verband voor - JS"
"|NALBANT"	"naam komt in een ander verband voor - JS"
"|KIR"	"naam komt in een ander verband voor - JS"
"|GUBLER"	"naam komt in een ander verband voor - JS"
"|KLEMENT"	"naam komt in een ander verband voor - JS"
"|KAJA"	"naam komt in een ander verband voor - JS"
"|IMREK"	"naam komt in een ander verband voor - JS"
"|BELLINGER"	"naam komt in een ander verband voor - JS"
"|BURKE"	"naam komt in een ander verband voor - JS"
"|BOZIC"	"naam komt in een ander verband voor - JS"
"|ARSENIC"	"naam komt in een ander verband voor - JS"
"|AVCI"	"naam komt in een ander verband voor - JS"
"|ORS"	"naam komt in een ander verband voor - JS"
"|TAIS"	"naam komt in een ander verband voor - JS"
"|SECHIN"	"naam komt in een ander verband voor - JS"
"|BERTIN"	"naam komt in een ander verband voor - JS"
"|GEORGI"	"naam komt in een ander verband voor - JS"
"|McBRIDE"	"naam komt in een ander verband voor - JS"
"|PROSSER"	"naam komt in een ander verband voor - JS"
"|DAMMANN"	"naam komt in een ander verband voor - JS"
"|CASSE"	"naam komt in een ander verband voor - JS"
"|DE LUCA"	"naam komt in een ander verband voor - JS"
"|DENU"	"naam komt in een ander verband voor - JS"
"|SONER"	"naam komt in een ander verband voor - JS"
"|ATAMAN"	"naam komt in een ander verband voor - JS"
"|FONDA"	"naam komt in een ander verband voor - JS"
"|CARTA"	"naam komt in een ander verband voor - JS"
"|KRISTOF"	"naam komt in een ander verband voor - JS"
"|KELLER"	"naam komt in een ander verband voor - JS"
"|HAFNER"	"naam komt in een ander verband voor - JS"
"|JAWORSKI"	"naam komt in een ander verband voor - JS"
"|KUR"	"naam komt in een ander verband voor - JS"
"|MELLO"	"naam komt in een ander verband voor - JS"
"|DURMAZ"	"naam komt in een ander verband voor - JS"
"|RITCHIE"	"naam komt in een ander verband voor - JS"
"|STAUDER"	"naam komt in een ander verband voor - JS"
"|DILLON"	"naam komt in een ander verband voor - JS"
"|AKIN"	"naam komt in een ander verband voor - JS"
"|DREU"	"naam komt in een ander verband voor - JS"
"|PILLA"	"naam komt in een ander verband voor - JS"
"|MEMIS"	"naam komt in een ander verband voor - JS"
"|MELCHIOR"	"naam komt in een ander verband voor - JS"
"|OZSOY"	"naam komt in een ander verband voor - JS"
"|MIZZI"	"naam komt in een ander verband voor - JS"
"|YAZAR"	"naam komt in een ander verband voor - JS"
"|BUDAK"	"naam komt in een ander verband voor - JS"
"|RIST"	"naam komt in een ander verband voor - JS"
"|WISSE"	"naam komt in een ander verband voor - JS"
"|THON"	"naam komt in een ander verband voor - JS"
"|KABAT"	"naam komt in een ander verband voor - JS"
"|CAPKOVA"	"naam komt in een ander verband voor - JS"
"|KANTOR"	"naam komt in een ander verband voor - JS"
"|GEZICI"	"naam komt in een ander verband voor - JS"
"|ALVER"	"naam komt in een ander verband voor - JS"
"|MARIEN"	"naam komt in een ander verband voor - JS"
"|ESER"	"naam komt in een ander verband voor - JS"
"|MATHEW"	"naam komt in een ander verband voor - JS"
"|KOMAN"	"naam komt in een ander verband voor - JS"
"|FRIK"	"naam komt in een ander verband voor - JS"
"|LEVEAU"	"naam komt in een ander verband voor - JS"
"|TEMEL"	"naam komt in een ander verband voor - JS"
"|ZAFIROPOULOS"	"naam komt in een ander verband voor - JS"
"|VAN OFFEREN"	"naam komt in een ander verband voor - JS"
"|ARVANITIS"	"naam komt in een ander verband voor - JS"
"|OCALAN"	"naam komt in een ander verband voor - JS"
"|CLAES"	"naam komt in een ander verband voor - JS"
"|GULTEKIN"	"naam komt in een ander verband voor - JS"
"|CALI"	"naam komt in een ander verband voor - JS"
"|KORRE"	"naam komt in een ander verband voor - JS"
"|WHITFIELD"	"naam komt in een ander verband voor - JS"
"|RAINYS"	"naam komt in een ander verband voor - JS"
"|ERTURK"	"naam komt in een ander verband voor - JS"
"|MARIANI"	"naam komt in een ander verband voor - JS"
"|MATHEUS"	"naam komt in een ander verband voor - JS"
"|HARAP"	"naam komt in een ander verband voor - JS"
"|PEYAM"	"naam komt in een ander verband voor - JS"
"|AHMADOV"	"naam komt in een ander verband voor - JS"
"|LOY"	"naam komt in een ander verband voor - JS"
"|SISAK"	"naam komt in een ander verband voor - JS"
"|KOKKINI"	"naam komt in een ander verband voor - JS"
"|GOLA"	"naam komt in een ander verband voor - JS"
"|UHL"	"naam komt in een ander verband voor - JS"
"|THALER"	"naam komt in een ander verband voor - JS"
"|OZDOGAN"	"naam komt in een ander verband voor - JS"
"|TOWNSEND"	"naam komt in een ander verband voor - JS"
"|HALIS"	"naam komt in een ander verband voor - JS"
"|RASH"	"naam komt in een ander verband voor - JS"
"|KILIAN"	"naam komt in een ander verband voor - JS"
"|ELDEN"	"naam komt in een ander verband voor - JS"
"|VRANA"	"naam komt in een ander verband voor - JS"
"|NORWOOD"	"naam komt in een ander verband voor - JS"
"|SPENCE"	"naam komt in een ander verband voor - JS"
"|GLOVER"	"naam komt in een ander verband voor - JS"
"|FABRE"	"naam komt in een ander verband voor - JS"
"|UNAL"	"naam komt in een ander verband voor - JS"
"|KALIN"	"naam komt in een ander verband voor - JS"
"|CARLETTI"	"naam komt in een ander verband voor - JS"
"|MARASLI"	"naam komt in een ander verband voor - JS"
"|ULLRICH"	"naam komt in een ander verband voor - JS"
"|FIDAN"	"naam komt in een ander verband voor - JS"
"|BEALE"	"naam komt in een ander verband voor - JS"
"|MOLNAR"	"naam komt in een ander verband voor - JS"
"|LOISEAU"	"naam komt in een ander verband voor - JS"
"|AGATHOS"	"naam komt in een ander verband voor - JS"
"|NEWBY"	"naam komt in een ander verband voor - JS"
"|JANAS"	"naam komt in een ander verband voor - JS"
"|BELAN"	"naam komt in een ander verband voor - JS"
"|ERKEK"	"naam komt in een ander verband voor - JS"
"|MONTI"	"naam komt in een ander verband voor - JS"
"|MACHNIK"	"naam komt in een ander verband voor - JS"
"|RINGEL"	"naam komt in een ander verband voor - JS"
"|MONTANARI"	"naam komt in een ander verband voor - JS"
"|KRANZ"	"naam komt in een ander verband voor - JS"
"|ALGE"	"naam komt in een ander verband voor - JS"
"|DAVENPORT"	"naam komt in een ander verband voor - JS"
"|LORSE"	"naam komt in een ander verband voor - JS"
"|MEHO"	"naam komt in een ander verband voor - JS"
"|CRONIN"	"naam komt in een ander verband voor - JS"
"|PENA"	"naam komt in een ander verband voor - JS"
"|FAIVRE"	"naam komt in een ander verband voor - JS"
"|KULTER"	"naam komt in een ander verband voor - JS"
"|HUART"	"naam komt in een ander verband voor - JS"
"|PLATON"	"naam komt in een ander verband voor - JS"
"|HORTICULTURAL"	"naam komt in een ander verband voor - JS"
"|FINDLATER"	"naam komt in een ander verband voor - JS"
"|CASTILLON"	"naam komt in een ander verband voor - JS"
"|BOUDIER"	"naam komt in een ander verband voor - JS"
"|EGAN"	"naam komt in een ander verband voor - JS"
"|HASHMAN"	"naam komt in een ander verband voor - JS"
"|SERIF"	"naam komt in een ander verband voor - JS"
"|ANGELI"	"naam komt in een ander verband voor - JS"
"|SCHOBER"	"naam komt in een ander verband voor - JS"
"|VEGH"	"naam komt in een ander verband voor - JS"
"|BERKVENS"	"naam komt in een ander verband voor - JS"
"|GRUNFELD"	"naam komt in een ander verband voor - JS"
"|AINSWORTH"	"naam komt in een ander verband voor - JS"
"|BYRNE"	"naam komt in een ander verband voor - JS"
"|BOYD"	"naam komt in een ander verband voor - JS"
"|MOHAMMAD"	"naam komt in een ander verband voor - JS"
"|WILHELM"	"naam komt in een ander verband voor - JS"
"|FERRARA"	"naam komt in een ander verband voor - JS"
"|FIDLER"	"naam komt in een ander verband voor - JS"
"|GARLAND"	"naam komt in een ander verband voor - JS"
"|KELLING"	"naam komt in een ander verband voor - JS"
"|SIMMER"	"naam komt in een ander verband voor - JS"
"|McLEOD"	"naam komt in een ander verband voor - JS"
"|GUERIN"	"naam komt in een ander verband voor - JS"
"|CASAGRANDE"	"naam komt in een ander verband voor - JS"
"|FLEISCHHACKER"	"naam komt in een ander verband voor - JS"
"|JOHAL"	"naam komt in een ander verband voor - JS"
"|SCHOPFER"	"naam komt in een ander verband voor - JS"
"|REINHARDT"	"naam komt in een ander verband voor - JS"
"|HOZEE"	"naam komt in een ander verband voor - JS"
"|BERTELLI"	"naam komt in een ander verband voor - JS"
"|VESTERBY"	"naam komt in een ander verband voor - JS"
"|GUERRA"	"naam komt in een ander verband voor - JS"
"|KOPP"	"naam komt in een ander verband voor - JS"
"|BOTTA"	"naam komt in een ander verband voor - JS"
"|RIAZ"	"naam komt in een ander verband voor - JS"
"|RAJA"	"naam komt in een ander verband voor - JS"
"|VAN DEN MAAGDENBERG"	"naam komt in een ander verband voor - JS"
"|BAHADDAR"	"naam komt in een ander verband voor - JS"
"|GEDIN"	"naam komt in een ander verband voor - JS"
"|BERGLUND"	"naam komt in een ander verband voor - JS"
"|METAXA"	"naam komt in een ander verband voor - JS"
"|LEDGER"	"naam komt in een ander verband voor - JS"
"|MALLARD"	"naam komt in een ander verband voor - JS"
"|FUKS"	"naam komt in een ander verband voor - JS"
"|TANGE"	"naam komt in een ander verband voor - JS"
"|TORRI"	"naam komt in een ander verband voor - JS"
"|HALFORD"	"naam komt in een ander verband voor - JS"
"|GRATZER"	"naam komt in een ander verband voor - JS"
"|BELLIS"	"naam komt in een ander verband voor - JS"
"|FOUCHER"	"naam komt in een ander verband voor - JS"
"|BEGUM"	"naam komt in een ander verband voor - JS"
"|ASLAM"	"naam komt in een ander verband voor - JS"
"|KINGSTON"	"naam komt in een ander verband voor - JS"
"|CARTLEDGE"	"naam komt in een ander verband voor - JS"
"|WIEDEMANN"	"naam komt in een ander verband voor - JS"
"|MISSON"	"naam komt in een ander verband voor - JS"
"|HAUPTMANN"	"naam komt in een ander verband voor - JS"
"|EUGENIA"	"naam komt in een ander verband voor - JS"
"|TOUVIER"	"naam komt in een ander verband voor - JS"
"|KUMAR"	"naam komt in een ander verband voor - JS"
"|FORDE"	"naam komt in een ander verband voor - JS"
"|BLUMENTHAL"	"naam komt in een ander verband voor - JS"
"|KANAN"	"naam komt in een ander verband voor - JS"
"|DOBBIE"	"naam komt in een ander verband voor - JS"
"|PULLAR"	"naam komt in een ander verband voor - JS"
"|ELLIES"	"naam komt in een ander verband voor - JS"
"|FRESE"	"naam komt in een ander verband voor - JS"
"|CONNOLLY"	"naam komt in een ander verband voor - JS"
"|BAXTER"	"naam komt in een ander verband voor - JS"
"|WELCH"	"naam komt in een ander verband voor - JS"
"|MORTENSEN"	"naam komt in een ander verband voor - JS"
"|KELMAN"	"naam komt in een ander verband voor - JS"
"|POKU"	"naam komt in een ander verband voor - JS"
"|CHOUDRY"	"naam komt in een ander verband voor - JS"
"|BENZE"	"naam komt in een ander verband voor - JS"
"|JOHNSTON"	"naam komt in een ander verband voor - JS"
